gameDate,gamePk,inning,inningOrdinal,isTopInning,batterId,batterName,pitcherId,pitcherName,atBatResult,rbi,runs,strikeOuts,baseOnBalls,hits,homeRuns,description,balls,strikes,pitchesInAB,isInPlay,isStrike,isBall
2026-04-13,823153,1,1,True,514888,Jose Altuve,669923,George Kirby,Flyout,0,,0,0,0,0,Jose Altuve flies out to left fielder Randy Arozarena in foul territory.,1,1,,,,
2026-04-13,823153,1,1,True,670541,Yordan Alvarez,669923,George Kirby,Flyout,0,,0,0,0,0,Yordan Alvarez flies out to center fielder Julio Rodríguez.,0,0,,,,
2026-04-13,823153,1,1,True,670623,Isaac Paredes,669923,George Kirby,Single,0,,0,0,1,0,Isaac Paredes singles on a line drive to center fielder Julio Rodríguez.,0,2,,,,
2026-04-13,823153,1,1,True,572233,Christian Walker,669923,George Kirby,Groundout,0,,0,0,0,0,"Christian Walker grounds out, third baseman Brendan Donovan to first baseman Josh Naylor.",2,1,,,,
2026-04-13,823153,1,1,False,680977,Brendan Donovan,681347,Mike Burrows,Groundout,0,,0,0,0,0,"Brendan Donovan grounds out, first baseman Christian Walker to pitcher Mike Burrows.",1,2,,,,
2026-04-13,823153,1,1,False,663728,Cal Raleigh,681347,Mike Burrows,Single,0,,0,0,1,0,Cal Raleigh singles on a fly ball to left fielder Yordan Alvarez.,0,0,,,,
2026-04-13,823153,1,1,False,677594,Julio Rodríguez,681347,Mike Burrows,Double,0,,0,0,1,0,"Julio Rodríguez doubles (2) on a sharp ground ball to left fielder Yordan Alvarez, deflected by third baseman Carlos Correa. Cal Raleigh to 3rd.",3,1,,,,
2026-04-13,823153,1,1,False,647304,Josh Naylor,681347,Mike Burrows,Home Run,3,,0,0,1,1,Josh Naylor homers (1) on a line drive to right center field. Cal Raleigh scores. Julio Rodríguez scores.,0,1,,,,
2026-04-13,823153,1,1,False,668227,Randy Arozarena,681347,Mike Burrows,Flyout,0,,0,0,0,0,Randy Arozarena flies out to center fielder Taylor Trammell.,0,1,,,,
2026-04-13,823153,1,1,False,670042,Luke Raley,681347,Mike Burrows,Strikeout,0,,1,0,0,0,Luke Raley strikes out swinging.,1,3,,,,
2026-04-13,823153,2,2,True,621043,Carlos Correa,669923,George Kirby,Single,0,,0,0,1,0,Carlos Correa singles on a ground ball to right fielder Luke Raley.,0,0,,,,
2026-04-13,823153,2,2,True,701358,Cam Smith,669923,George Kirby,Grounded Into DP,0,,0,0,0,0,"Cam Smith grounds into a double play, second baseman Cole Young to first baseman Josh Naylor. Carlos Correa out at 2nd. Cam Smith out at 1st.",1,0,,,,
