gameDate,gamePk,gameGuid,link,gameType,season,officialDate,description,dayNight,gamedayType,doubleHeader,tiebreaker,seriesDescription,seriesGameNumber,gamesInSeries,gameNumber,status_abstractGameState,status_detailedState,venue_id,venue_name,home_team_id,home_team_name,home_team_abbreviation,home_score,home_isWinner,away_team_id,away_team_name,away_team_abbreviation,away_score,away_isWinner,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition_code,primaryPosition_name,batSide_code,batSide_description,pitchHand_code,pitchHand_description,gameLogSummary,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,totalBases,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves,note
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,620443,Luis Torrens,Luis,Torrens,13,1996-05-02,29,"5' 11""",217,2,Catcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,666182,Bo Bichette,Bo,Bichette,19,1998-03-05,28,"5' 11""",190,6,Shortstop,R,Right,R,Right,"0-4 | 3 K, RBI",4,0,0,0,0,1,0,3,0,0,0,0,5,0,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,621438,Tyrone Taylor,Tyrone,Taylor,28,1994-01-22,32,"6' 0""",218,8,Outfielder,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,682626,Francisco Alvarez,Francisco,Alvarez,4,2001-11-19,24,"5' 10""",233,2,Catcher,R,Right,R,Right,"2-4 | HR, HBP, RBI",4,2,0,0,1,1,2,0,0,0,0,0,5,5,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,640455,Sean Manaea,Sean,Manaea,59,1992-02-01,34,"6' 5""",245,1,Pitcher,R,Right,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,668901,Mark Vientos,Mark,Vientos,27,1999-12-11,26,"6' 3""",185,5,Third Base,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,668964,Tobias Myers,Tobias,Myers,32,1998-08-05,27,"6' 1""",223,1,Pitcher,R,Right,R,Right,"3.0 IP, ER, K, 0 BB",,,,,,,,,,,,,,,3.0,1,1,1,1,0,39,0,0,0,"(H, 1)"
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,683146,Brett Baty,Brett,Baty,7,1999-11-13,26,"6' 3""",210,5,Third Base,L,Left,R,Right,"1-5 | 3B, 2 K, 3 RBI",5,1,0,1,0,3,1,2,0,0,0,0,5,3,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,623211,Huascar Brazobán,Huascar,Brazobán,43,1989-10-15,36,"6' 3""",155,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-26,823649,323f3bf8-6ef7-46c5-8dbd-8f5b18378215,/api/v1.1/game/823649/feed/live,R,2026,2026-03-26,Mets Home Opener,day,P,N,N,Regular Season,1,3,1,Final,Final,3289,Citi Field,121,New York Mets,NYM,11,True,134,Pittsburgh Pirates,PIT,7,False,663992,Richard Lovelady,Richard,Lovelady,55,1995-07-07,30,"6' 0""",185,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
