gameDate,gamePk,gameGuid,link,gameType,season,officialDate,description,dayNight,gamedayType,doubleHeader,tiebreaker,seriesDescription,seriesGameNumber,gamesInSeries,gameNumber,status_abstractGameState,status_detailedState,venue_id,venue_name,home_team_id,home_team_name,home_team_abbreviation,home_score,home_isWinner,away_team_id,away_team_name,away_team_abbreviation,away_score,away_isWinner,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition_code,primaryPosition_name,batSide_code,batSide_description,pitchHand_code,pitchHand_description,gameLogSummary,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,totalBases,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves,note
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,669016,Brandon Marsh,Brandon,Marsh,16,1997-12-18,28,"6' 2""",215,8,Outfielder,L,Left,R,Right,0-4 | K,4,0,0,0,0,0,0,1,0,0,0,0,4,0,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,666200,Jesús Luzardo,Jesús,Luzardo,44,1997-09-30,28,"6' 0""",218,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,621237,José Alvarado,José,Alvarado,46,1995-05-21,30,"6' 2""",245,1,Pitcher,L,Left,L,Left,"0.1 IP, 0 ER, 0 K, 0 BB",,,,,,,,,,,,,,,0.1,0,0,0,0,0,6,0,0,0,"(H, 3)"
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,702222,Justin Crawford,Justin,Crawford,2,2004-01-13,22,"6' 2""",188,8,Outfielder,L,Left,R,Right,"2-2 | 2B, BB, R",2,2,1,0,0,0,1,0,1,0,0,0,3,3,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,650911,Cristopher Sánchez,Cristopher,Sánchez,61,1996-12-12,29,"6' 6""",200,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,547180,Bryce Harper,Bryce,Harper,3,1992-10-16,33,"6' 1""",210,3,First Base,L,Left,R,Right,"1-3 | HR, BB, RBI",3,1,0,0,1,1,1,0,1,0,0,0,4,4,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,592663,J.T. Realmuto,Jacob,Realmuto,10,1991-03-18,35,"6' 0""",212,2,Catcher,R,Right,R,Right,0-4 | 3 K,4,0,0,0,0,0,0,3,0,0,0,0,4,0,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,661395,Jhoan Duran,Jhoan,Duran,59,1998-01-08,28,"6' 5""",230,1,Pitcher,R,Right,R,Right,"1.0 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,1.0,0,0,0,1,0,12,0,0,1,"(S, 5)"
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,624641,Edmundo Sosa,Edmundo,Sosa,33,1996-03-06,30,"5' 11""",210,4,Second Base,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,689147,Orion Kerkering,Richard,Kerkering,50,2001-04-04,25,"6' 2""",204,1,Pitcher,R,Right,R,Right,"1.0 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,1.0,0,0,0,1,0,14,0,0,0,"(H, 1)"
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,664761,Alec Bohm,Alec,Bohm,28,1996-08-03,29,"6' 4""",218,5,Third Base,R,Right,R,Right,"0-4 | K, R",4,0,0,0,0,0,1,1,0,0,0,0,4,0,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,680742,Jonathan Bowlan,Jonathan,Bowlan,52,1996-12-01,29,"6' 6""",240,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,641835,Tim Mayza,Timothy,Mayza,37,1992-01-15,34,"6' 3""",215,1,Pitcher,L,Left,L,Left,"0.2 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,0.2,0,1,0,1,0,9,0,0,0,"(H, 1)"
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,681082,Bryson Stott,Bryson,Stott,5,1997-10-06,28,"6' 0""",200,4,Second Base,L,Left,R,Right,1-3 | BB,3,1,0,0,0,0,0,0,1,0,0,0,4,1,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,656941,Kyle Schwarber,Kyle,Schwarber,12,1993-03-05,33,"5' 11""",229,7,Outfielder,L,Left,R,Right,"1-4 | HR, 2 K, 3 RBI",4,1,0,0,1,3,1,2,0,0,0,0,4,4,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,805249,Otto Kemp,Otto,Kemp,4,1999-09-09,26,"5' 11""",185,O,Outfield,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,647315,Zach Pop,Zachery,Pop,56,1996-09-20,29,"6' 4""",220,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,592836,Taijuan Walker,Taijuan,Walker,99,1992-08-13,33,"6' 4""",235,1,Pitcher,R,Right,R,Right,"5.0 IP, 2 ER, 6 K, 2 BB",,,,,,,,,,,,,,,5.0,2,4,1,6,2,85,1,0,0,"(W, 1-2)"
2026-04-11,823480,7b908a98-88a2-4d00-b9fa-bede54539710,/api/v1.1/game/823480/feed/live,R,2026,2026-04-11,,day,P,N,N,Regular Season,2,3,1,Final,Final,2681,Citizens Bank Park,143,Philadelphia Phillies,PHI,4,True,109,Arizona Diamondbacks,AZ,3,False,665561,Rafael Marchán,Rafael,Marchán,13,1999-02-25,27,"5' 9""",170,2,Catcher,S,Switch,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
