gameDate,gamePk,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition,batSide,pitchHand,teamAbbrev,gameLogSummary,note,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves
2026-04-13,823153,647304,Josh Naylor,Joshua-Douglas,Naylor,12,1997-06-22,28,"5' 10""",235,First Base,Left,Left,SEA,"2-4 | 2 HR, 5 RBI, 2 R",,4,2,0,0,2,5,2,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,702284,Cole Young,Cole,Young,2,2003-07-29,22,"5' 10""",180,Second Base,Left,Right,SEA,0-4 | K,,4,0,0,0,0,0,0,1,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,678606,Jose A. Ferrer,Jose,Ferrer,45,2000-03-03,26,"6' 1""",233,Pitcher,Left,Left,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,668227,Randy Arozarena,Randy,Arozarena,56,1995-02-28,31,"5' 10""",185,Outfielder,Right,Right,SEA,0-4,,4,0,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,641487,J.P. Crawford,John,Crawford,3,1995-01-11,31,"6' 0""",202,Shortstop,Left,Right,SEA,1-4,,4,1,0,0,0,0,0,0,0,0,0,0,4,,,,,,,,,,
2026-04-13,823153,668984,Casey Legumina,Casey,Legumina,64,1997-06-19,28,"6' 2""",195,Pitcher,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,686527,Dominic Canzone,Dominic,Canzone,8,1997-08-16,28,"6' 0""",190,Outfielder,Left,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,663728,Cal Raleigh,Caleb,Raleigh,29,1996-11-26,29,"6' 2""",235,Catcher,Switch,Right,SEA,2-5 | 2 R,,5,2,0,0,0,0,2,0,0,0,0,0,5,,,,,,,,,,
2026-04-13,823153,656582,Connor Joe,Connor,Joe,9,1992-08-16,33,"5' 11""",205,First Base,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,608701,Rob Refsnyder,Robert,Refsnyder,30,1991-03-26,35,"5' 11""",215,Outfielder,Right,Right,SEA,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-13,823153,677961,Cole Wilcox,Mitchell,Wilcox,43,1999-07-14,26,"6' 5""",232,Pitcher,Right,Right,SEA,"1.0 IP, 0 ER, 0 K, BB",,,,,,,,,,,,,,,1.0,0,0,0,0,1,16,0,0,0
