gameDate,gamePk,gameGuid,link,gameType,season,officialDate,description,dayNight,gamedayType,doubleHeader,tiebreaker,seriesDescription,seriesGameNumber,gamesInSeries,gameNumber,status_abstractGameState,status_detailedState,venue_id,venue_name,home_team_id,home_team_name,home_team_abbreviation,home_score,home_isWinner,away_team_id,away_team_name,away_team_abbreviation,away_score,away_isWinner,playerId,fullName,firstName,lastName,primaryNumber,birthDate,currentAge,height,weight,primaryPosition_code,primaryPosition_name,batSide_code,batSide_description,pitchHand_code,pitchHand_description,gameLogSummary,note,atBats,hits,doubles,triples,homeRuns,rbi,runs,strikeOuts,baseOnBalls,stolenBases,caughtStealing,groundIntoDoublePlay,plateAppearances,totalBases,inningsPitched,earnedRuns,hitsAllowed,homeRunsAllowed,strikeOutsPitching,baseOnBallsPitching,pitchesThrown,wins,losses,saves
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,701350,Roman Anthony,Roman,Anthony,19,2004-05-13,21,"6' 3""",200,9,Outfielder,L,Left,R,Right,"1-2 | 3 BB, K, RBI",,2,1,0,0,0,1,0,1,3,1,0,0,5,1,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,575929,Willson Contreras,Willson,Contreras,40,1992-05-13,33,"6' 0""",240,3,First Base,R,Right,R,Right,1-5 | K,,5,1,0,0,0,0,0,1,0,0,0,0,5,1,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,813349,Connelly Early,Todd,Early,71,2002-04-03,24,"6' 3""",195,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,669711,Greg Weissert,Gregory,Weissert,57,1995-02-04,31,"6' 2""",235,1,Pitcher,R,Right,R,Right,"1.0 IP, 0 ER, 3 K, 0 BB",,,,,,,,,,,,,,,,1.0,0,0,0,3,0,10,0,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,657136,Connor Wong,Connor,Wong,12,1996-05-19,29,"5' 10""",190,2,Catcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,596115,Trevor Story,Trevor,Story,10,1992-11-15,33,"6' 1""",209,6,Shortstop,R,Right,R,Right,"1-4 | 2B, BB, 2 K",,4,1,1,0,0,0,2,2,1,0,0,0,5,2,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,677161,Zack Kelly,Zachery,Kelly,76,1995-03-03,31,"6' 3""",231,1,Pitcher,R,Right,R,Right,"1.2 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,,1.2,0,1,0,1,0,27,0,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,678394,Brayan Bello,Brayan,Bello,66,1999-05-17,26,"6' 1""",195,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,677800,Wilyer Abreu,Wilyer,Abreu,52,1999-06-24,26,"5' 10""",215,9,Outfielder,L,Left,L,Left,"0-4 | BB, K, RBI",,4,0,0,0,0,1,0,1,1,0,0,0,5,0,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,676477,Garrett Whitlock,Garrett,Whitlock,22,1996-06-11,29,"6' 5""",222,1,Pitcher,R,Right,R,Right,"1.0 IP, 0 ER, 0 K, 0 BB",,,,,,,,,,,,,,,,1.0,0,0,0,0,0,12,1,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,543243,Sonny Gray,Sonny,Gray,54,1989-11-07,36,"5' 10""",190,1,Pitcher,R,Right,R,Right,"2.2 IP, ER, 2 K, BB",,,,,,,,,,,,,,,,2.2,1,3,0,2,1,40,0,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,655316,Andruw Monasterio,Andruw,Monasterio,32,1997-05-30,28,"5' 11""",195,6,Shortstop,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,643396,Isiah Kiner-Falefa,Isiah,Kiner-Falefa,2,1995-03-23,31,"5' 10""",195,6,Shortstop,R,Right,R,Right,"1-2 | K, 2 RBI, SB",,2,1,0,0,0,2,0,1,0,1,0,0,2,1,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,676979,Garrett Crochet,Garrett,Crochet,35,1999-06-21,26,"6' 6""",245,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,702332,Caleb Durbin,Caleb,Durbin,5,2000-02-22,26,"5' 6""",183,5,Third Base,R,Right,R,Right,"2-4 | 2B, BB, R",,4,2,1,0,0,0,1,0,1,0,0,0,5,3,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,624133,Ranger Suarez,Ranger,Suarez,55,1995-08-26,30,"6' 1""",217,1,Pitcher,L,Left,L,Left,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,665966,Carlos Narváez,Carlos,Narváez,75,1998-11-26,27,"5' 11""",190,2,Catcher,R,Right,R,Right,"2-3 | 2B, BB, RBI",,3,2,1,0,0,1,1,0,1,1,0,0,4,3,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,680776,Jarren Duran,Jarren,Duran,16,1996-09-05,29,"6' 0""",205,7,Outfielder,L,Left,R,Right,0-3 | K,,3,0,0,0,0,0,0,1,0,0,0,0,3,0,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,678882,Ceddanne Rafaela,Ceddanne,Rafaela,3,2000-09-18,25,"5' 10""",165,8,Outfielder,R,Right,R,Right,"1-2 | 2 RBI, R",,2,1,0,0,0,2,1,0,0,0,0,0,2,1,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,681252,Jack Anderson,Jack,Anderson,77,1999-11-23,26,"6' 3""",197,1,Pitcher,R,Right,R,Right,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,663558,Jovani Morán,Jovani,Moran,47,1997-04-24,28,"6' 1""",167,1,Pitcher,L,Left,L,Left,"0.0 IP, ER, 0 K, 2 BB",,,,,,,,,,,,,,,,0.0,1,1,0,0,2,14,0,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,807799,Masataka Yoshida,Masataka,Yoshida,7,1993-07-15,32,"5' 8""",192,7,Outfielder,L,Left,R,Right,"2-4 | BB, 2 R",,4,2,0,0,0,0,2,0,1,0,0,0,5,2,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,543056,Danny Coulombe,Daniel,Coulombe,67,1989-10-26,36,"5' 10""",190,1,Pitcher,L,Left,L,Left,"0.2 IP, ER, 0 K, BB",,,,,,,,,,,,,,,,0.2,1,0,0,0,1,15,0,0,0
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,691785,Marcelo Mayer,Marcelo,Mayer,11,2002-12-12,23,"6' 3""",188,5,Third Base,L,Left,R,Right,1-3 | R,,3,1,0,0,0,0,1,0,0,0,0,0,3,1,,,,,,,,,,
2026-04-20,824776,,/api/v1.1/game/824776/feed/live,R,2026,2026-04-20,,day,P,N,N,Regular Season,4,4,1,Final,Final,3,Fenway Park,111,Boston Red Sox,BOS,8,True,116,Detroit Tigers,DET,6,False,547973,Aroldis Chapman,Albertin,Chapman,44,1988-02-28,38,"6' 4""",235,1,Pitcher,L,Left,L,Left,"0.2 IP, 0 ER, K, 0 BB",,,,,,,,,,,,,,,,0.2,0,1,0,1,0,13,0,0,1
